"id","id_competition","competition_name","competition_official_name","competition_initial_date","competition_final_date","competition_url_image","competition_url_image_negative","id_edition","edition_year","id_phase","phase_id","phase_description","phase_abrev","id_subphase","id_round","id_matchweek","id_week","week_description","matchweek_number","id_team_local","local_team_id_team_denomination","local_team_team_actual_name","local_team_team_actual_short_name","local_team_team_abbrev_name","id_team_visitor","visitor_team_id_team_denomination","visitor_team_team_actual_name","visitor_team_team_actual_short_name","visitor_team_team_abbrev_name","score_local","score_visitor","date","time","live","finalized","selected_players","arena_name","arena_town","period","crono","matchweek_descriptor"
104467,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,107,"Liga Regular","LR",0,0,5884,2861,"Semana 1","1",4397,2671,"Valencia Basket","Valencia Basket","VBC",4386,2660,"Barça","Barça","BAR",93,81,1759622400,61200,FALSE,TRUE,FALSE,"Roig Arena","Valencia",4,0,"Jornada 1"
104466,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,107,"Liga Regular","LR",0,0,5884,2861,"Semana 1","1",4393,2667,"UCAM Murcia","UCAM Murcia","UCM",4385,2659,"MoraBanc Andorra","MoraBanc And","MBA",95,64,1759622400,57600,FALSE,TRUE,FALSE,"Palacio de Deportes de Murcia","Murcia",4,0,"Jornada 1"
104465,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,107,"Liga Regular","LR",0,0,5884,2861,"Semana 1","1",4392,2666,"Casademont Zaragoza","Casademont Zgz","CAZ",4398,2710,"Baskonia","Baskonia","BKN",107,88,1759622400,54000,FALSE,TRUE,FALSE,"Pabellón Príncipe Felipe","Zaragoza",4,0,"Jornada 1"
104464,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,107,"Liga Regular","LR",0,0,5884,2861,"Semana 1","1",4388,2662,"Real Madrid","Real Madrid","RMB",4390,2664,"Dreamland Gran Canaria","Dreamland GC","DGC",81,71,1759622400,37800,FALSE,TRUE,FALSE,"Movistar Arena","Madrid",4,0,"Jornada 1"
104463,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,107,"Liga Regular","LR",0,0,5884,2861,"Semana 1","1",4401,2674,"Coviran Granada","Coviran Granada","COV",4394,2668,"Joventut Badalona","Joventut","JOV",75,87,1759622400,36000,FALSE,TRUE,FALSE,"Palacio Deportes Granada","Granada",4,0,"Jornada 1"
104462,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,107,"Liga Regular","LR",0,0,5884,2861,"Semana 1","1",4387,2661,"Hiopos Lleida","Hiopos Lleida","HIO",4395,2669,"Río Breogán","Río Breogán","BRE",87,68,1759536000,68400,FALSE,TRUE,FALSE,"Espai Fruita Barris Nord","Lleida",4,0,"Jornada 1"
104461,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,107,"Liga Regular","LR",0,0,5884,2861,"Semana 1","1",4391,2665,"La Laguna Tenerife","La Laguna TFE","LLT",4396,2670,"BAXI Manresa","BAXI Manresa","BAX",104,93,1759536000,64800,FALSE,TRUE,FALSE,"Pab. Dep. Tenerife Santiago Martín","San Cristóbal de La Laguna",4,0,"Jornada 1"
104460,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,107,"Liga Regular","LR",0,0,5884,2861,"Semana 1","1",4402,2680,"Recoletas Salud San Pablo Burgos","Recoletas Salud","BUR",4399,2673,"Bàsquet Girona","Bàsquet Girona","GIR",97,79,1759536000,61200,FALSE,TRUE,FALSE,"Coliseum Burgos","Burgos",4,0,"Jornada 1"
104459,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,107,"Liga Regular","LR",0,0,5884,2861,"Semana 1","1",4384,2658,"Unicaja","Unicaja","UNI",4389,2711,"Surne Bilbao Basket","Surne Bilbao","SBB",86,68,1759536000,57600,FALSE,TRUE,FALSE,"Palacio de Deportes José María Martín Carpena","Málaga",4,0,"Jornada 1"
104476,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,107,"Liga Regular","LR",0,0,5885,2862,"Semana 2","2",4398,2710,"Baskonia","Baskonia","BKN",4388,2662,"Real Madrid","Real Madrid","RMB",105,100,1760227200,61200,FALSE,TRUE,FALSE,"Fernando Buesa Arena","Vitoria-Gasteiz",4,0,"Jornada 2"
